record_no,iso_code,country,population,year,co2,co2_per_capita,co2_per_gdp,co2_growth_prct,consumption_co2,consumption_co2_per_capita,share_global_co2
116,BRB,Barbados,281000.0,2009,1.597,5.684,0.355,-0.938,,,0.005
117,BRB,Barbados,282000.0,2010,1.464,5.192,0.354,-8.336,,,0.004
118,BRB,Barbados,283000.0,2011,1.516,5.356,0.445,3.53,,,0.004
119,BRB,Barbados,284000.0,2012,1.459,5.1389999999999985,0.484,-3.707,,,0.004
120,BLR,Belarus,9481000.0,2007,63.57,6.705,0.513,-0.915,70.679,7.455,0.203
121,BLR,Belarus,9453000.0,2008,65.695,6.95,0.456,3.343,76.835,8.128,0.206
122,BLR,Belarus,9433000.0,2009,61.403,6.509,0.435,-6.533,54.451,5.772,0.195
123,BLR,Belarus,9421000.0,2010,63.15600000000001,6.704,0.407,2.8560000000000003,60.713,6.444,0.191
124,BLR,Belarus,9415000.0,2011,62.107,6.597,0.359,-1.662,50.684,5.382999999999999,0.182
125,BLR,Belarus,9417000.0,2012,63.008,6.691,0.35200000000000004,1.452,63.583,6.752000000000002,0.181
126,BEL,Belgium,10698000.0,2007,120.496,11.263,0.315,-2.752,226.24400000000003,21.148000000000003,0.385
127,BEL,Belgium,10779000.0,2008,120.203,11.152,0.307,-0.243,209.303,19.418,0.376
128,BEL,Belgium,10860000.0,2009,107.743,9.921,0.268,-10.365,177.64700000000005,16.358,0.342
129,BEL,Belgium,10939000.0,2010,114.561,10.473,0.273,6.3279999999999985,192.356,17.584,0.34600000000000003
130,BEL,Belgium,11014000.0,2011,105.046,9.538,0.251,-8.306000000000001,204.479,18.565,0.307
131,BEL,Belgium,11085000.0,2012,102.429,9.24,0.238,-2.492,184.268,16.623,0.295
132,BLZ,Belize,299000.0,2007,0.476,1.5930000000000002,,7.438,,,0.002
133,BLZ,Belize,307000.0,2008,0.436,1.42,,-8.462,,,0.001
134,BLZ,Belize,315000.0,2009,0.517,1.64,,18.487,,,0.002
135,BLZ,Belize,322000.0,2010,0.539,1.673,,4.255,,,0.002
136,BLZ,Belize,330000.0,2011,0.557,1.6880000000000002,,3.401,,,0.002
137,BLZ,Belize,338000.0,2012,0.451,1.3330000000000002,,-19.079,,,0.001
138,BEN,Benin,8455000.0,2007,4.32,0.511,0.277,16.39,6.556,0.775,0.014
139,BEN,Benin,8697000.0,2008,4.255,0.489,0.263,-1.501,7.352,0.845,0.013
140,BEN,Benin,8945000.0,2009,4.508,0.504,0.276,5.949,6.954,0.777,0.014
141,BEN,Benin,9199000.0,2010,4.939,0.537,0.293,9.561,7.3039999999999985,0.794,0.015
142,BEN,Benin,9461000.0,2011,4.887,0.517,0.285,-1.056,8.914,0.942,0.014
143,BEN,Benin,9729000.0,2012,4.6389999999999985,0.477,0.254,-5.077,7.439,0.765,0.013
144,BMU,Bermuda,66000.0,2007,0.7290000000000001,11.048,,11.798,,,0.002
145,BMU,Bermuda,66000.0,2008,0.649,9.826,,-11.055,,,0.002
146,BMU,Bermuda,66000.0,2009,0.476,7.217,,-26.554,,,0.002
147,BMU,Bermuda,65000.0,2010,0.608,9.357,,27.692,,,0.002
148,BMU,Bermuda,65000.0,2011,0.443,6.8210000000000015,,-27.108,,,0.001
149,BMU,Bermuda,65000.0,2012,0.366,5.6370000000000005,,-17.355,,,0.001
150,BTN,Bhutan,665000.0,2007,0.3720000000000001,0.5589999999999999,,-0.262,,,0.001
151,BTN,Bhutan,672000.0,2008,0.401,0.596,,7.712999999999999,,,0.001
152,BTN,Bhutan,678000.0,2009,0.368,0.542,,-8.215,,,0.001
153,BTN,Bhutan,686000.0,2010,0.464,0.677,,26.198,,,0.001
154,BTN,Bhutan,693000.0,2011,0.667,0.963,,43.801,,,0.002
155,BTN,Bhutan,702000.0,2012,0.772,1.1,,15.699000000000002,,,0.002
156,BOL,Bolivia,9558000.0,2007,12.177,1.274,0.333,-18.39,10.365,1.084,0.039
157,BOL,Bolivia,9721000.0,2008,13.041,1.341,0.316,7.0939999999999985,11.487,1.182,0.041
158,BOL,Bolivia,9885000.0,2009,13.498,1.365,0.311,3.505,12.885,1.3030000000000002,0.043
159,BOL,Bolivia,10049000.0,2010,14.640999999999998,1.457,0.306,8.468,13.478,1.341,0.044
160,BOL,Bolivia,10213000.0,2011,16.038,1.57,0.297,9.545,14.986,1.467,0.047
161,BOL,Bolivia,10378000.0,2012,18.119,1.746,0.317,12.977,16.102999999999998,1.5519999999999998,0.052000000000000005
162,BES,Bonaire Sint Eustatius and Saba,17000.0,2007,0.302,17.787,,12.577,,,0.001
163,BES,Bonaire Sint Eustatius and Saba,18000.0,2008,0.29100000000000004,16.158,,-3.815,,,0.001
164,BES,Bonaire Sint Eustatius and Saba,20000.0,2009,0.298,14.88,,2.323,,,0.001
165,BES,Bonaire Sint Eustatius and Saba,21000.0,2010,0.205,9.761,,-31.118,,,0.001
166,BES,Bonaire Sint Eustatius and Saba,22000.0,2011,0.262,11.887,,27.573,,,0.001
167,BES,Bonaire Sint Eustatius and Saba,23000.0,2012,0.311,13.541,,19.093,,,0.001
168,BIH,Bosnia and Herzegovina,3763000.0,2007,17.474,4.644,0.565,0.503,,,0.056
169,BIH,Bosnia and Herzegovina,3754000.0,2008,19.959,5.317,0.608,14.217,,,0.062
170,BIH,Bosnia and Herzegovina,3736000.0,2009,20.537,5.497000000000001,0.598,2.898,,,0.065
171,BIH,Bosnia and Herzegovina,3705000.0,2010,21.146,5.707000000000002,0.614,2.963,,,0.064
172,BIH,Bosnia and Herzegovina,3661000.0,2011,23.761,6.49,0.6659999999999999,12.369000000000002,,,0.069
173,BIH,Bosnia and Herzegovina,3605000.0,2012,22.136,6.14,0.593,-6.839,,,0.064
174,BWA,Botswana,1875000.0,2007,4.228,2.255,0.18,2.305,9.774,5.212999999999999,0.014
175,BWA,Botswana,1916000.0,2008,4.503,2.35,0.191,6.499,11.959,6.2410000000000005,0.014
176,BWA,Botswana,1953000.0,2009,3.856,1.974,0.17600000000000002,-14.38,5.2860000000000005,2.7060000000000004,0.012
177,BWA,Botswana,1987000.0,2010,4.5360000000000005,2.283,0.188,17.658,6.776,3.41,0.014
178,BWA,Botswana,2015000.0,2011,4.029,1.999,0.15,-11.19,5.004,2.484,0.012
