record_no,iso_code,geo_reg,year,population,gdp,co2,co2_growth_prct,co2_growth_abs,consumption_co2,trade_co2,trade_co2_share,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita
208,ABW,Aruba,2008,101000,0.0,2.656,-5.8439999999999985,-0.165,0.0,0.0,0.0,26.301,0.0,0.008,60.06,0.0,0.0,0.0,0.0,0.0,0.0,2.656,0.0,0.0,0.0,0.0,0.0,26.301
209,ABW,Aruba,2009,101000,0.0,2.627,-1.103,-0.029,0.0,0.0,0.0,26.011,0.0,0.008,62.687,0.0,0.0,0.0,0.0,0.0,0.0,2.627,0.0,0.0,0.0,0.0,0.0,26.011
210,ABW,Aruba,2010,102000,0.0,2.506,-4.603,-0.121,0.0,0.0,0.0,24.57,0.0,0.008,65.193,0.0,0.0,0.0,0.0,0.0,0.0,2.506,0.0,0.0,0.0,0.0,0.0,24.57
211,ABW,Aruba,2011,102000,0.0,2.499,-0.292,-0.006999999999999999,0.0,0.0,0.0,24.499,0.0,0.006999999999999999,67.692,0.0,0.0,0.0,0.0,0.0,0.0,2.499,0.0,0.0,0.0,0.0,0.0,24.499
212,ABW,Aruba,2012,103000,0.0,1.348,-46.041,-1.15,0.0,0.0,0.0,13.091,0.0,0.004,69.04,0.0,0.0,0.0,0.0,0.0,0.0,1.348,0.0,0.0,0.0,0.0,0.0,13.091
227,notfound,Asia,2007,-2147483648,0.0,13919.476,5.547999999999999,731.623,0.0,0.0,0.0,3.42,0.0,44.48,290918.537,0.449,0.0,798.181,7641.944,93.621,1658.499,3708.276,18.955,0.196,1.878,0.023,0.407,0.911
228,notfound,Asia,2008,-2147483648,0.0,14708.063,5.665,788.587,0.0,0.0,0.0,3.573,0.0,46.04,305626.601,0.449,0.0,826.3789999999998,8213.032,97.648,1771.955,3781.101,17.948,0.201,1.995,0.024,0.43,0.919
229,notfound,Asia,2009,-2147483648,0.0,15276.685,3.866,568.622,0.0,0.0,0.0,3.67,0.0,48.553,320903.285,0.453,0.0,894.694,8576.564,99.962,1841.878,3848.639,14.948,0.215,2.06,0.024,0.442,0.925
230,notfound,Asia,2010,-2147483648,0.0,16327.225,6.877000000000002,1050.54,0.0,0.0,0.0,3.88,0.0,49.279,337230.51,0.436,0.0,963.33,9208.224,105.157,2019.257,4015.07,16.187,0.229,2.188,0.025,0.48,0.954
231,notfound,Asia,2011,-2147483648,0.0,17520.494,7.308,1193.269,0.0,0.0,0.0,4.119,0.0,51.215,354751.005,0.429,0.0,1047.681,10101.106,107.409,2197.039,4050.643,16.617,0.246,2.374,0.025,0.516,0.952
232,notfound,Asia,2012,-2147483648,0.0,18238.782,4.1,718.288,0.0,0.0,0.0,4.242,0.0,52.471,372989.787,0.431,0.0,1073.3339999999996,10449.331,105.806,2270.468,4322.948,16.895,0.25,2.43,0.025,0.528,1.005
247,notfound,Asia (excl. China & India),2007,0,0.0,5699.81,2.688,149.227,0.0,0.0,0.0,3.699,0.0,18.214,155376.081,0.327,0.0,214.867,1507.975,91.202,1476.289,2390.521,18.955,0.139,0.979,0.059,0.958,1.551
248,notfound,Asia (excl. China & India),2008,0,0.0,5870.299,2.991,170.489,0.0,0.0,0.0,3.758,0.0,18.376,161246.38,0.322,0.0,227.21,1571.046,95.534,1559.234,2399.327,17.948,0.145,1.006,0.061,0.998,1.536
249,notfound,Asia (excl. China & India),2009,0,0.0,5905.358,0.597,35.059,0.0,0.0,0.0,3.729,0.0,18.768,167151.739,0.327,0.0,229.866,1562.2620000000004,98.057,1564.789,2435.436,14.948,0.145,0.986,0.062,0.988,1.538
250,notfound,Asia (excl. China & India),2010,0,0.0,6148.2040000000015,4.112,242.845,0.0,0.0,0.0,3.83,0.0,18.557,173299.94199999998,0.311,0.0,237.709,1620.6529999999998,103.292,1685.427,2484.935,16.187,0.14800000000000002,1.01,0.064,1.05,1.548
251,notfound,Asia (excl. China & India),2011,0,0.0,6366.23,3.5460000000000003,218.026,0.0,0.0,0.0,3.912,0.0,18.609,179666.172,0.297,0.0,247.802,1713.06,105.332,1814.685,2468.735,16.617,0.152,1.053,0.065,1.115,1.517
252,notfound,Asia (excl. China & India),2012,0,0.0,6663.57,4.671,297.34,0.0,0.0,0.0,4.04,0.0,19.17,186329.743,0.303,0.0,258.315,1758.7779999999998,103.729,1867.264,2658.5890000000004,16.895,0.157,1.0659999999999998,0.063,1.132,1.612
267,AUS,Australia,2007,20916000,877000000000.0,399.842,1.824,7.162000000000001,370.458,-29.384,-7.349,19.117,17.712,1.278,13307.165,0.456,0.422,3.972,203.432,7.834,61.049,119.473,4.083,0.19,9.726,0.375,2.919,5.7120000000000015
268,AUS,Australia,2008,21332000,932000000000.0,404.417,1.144,4.575,364.061,-40.357,-9.979,18.958,17.066,1.266,13711.583,0.434,0.391,3.863,204.526,7.813,61.787,122.328,4.101,0.181,9.588,0.366,2.8960000000000004,5.734
269,AUS,Australia,2009,21751000,927000000000.0,407.463,0.753,3.0460000000000003,388.043,-19.421,-4.766,18.733,17.84,1.295,14119.046,0.44,0.419,3.829,206.05,8.363,63.113,122.37,3.739,0.17600000000000002,9.473,0.384,2.902,5.626
270,AUS,Australia,2010,22155000,994000000000.0,405.503,-0.481,-1.961,383.216,-22.287,-5.496,18.303,17.297,1.224,14524.549,0.408,0.386,3.549,200.536,8.587,64.262,124.56,4.008,0.16,9.052,0.388,2.901,5.622000000000001
271,AUS,Australia,2011,22538000,1030000000000.0,404.173,-0.328,-1.33,390.93,-13.243,-3.276,17.933,17.345,1.181,14928.722,0.392,0.38,3.4960000000000004,192.125,8.232999999999999,66.48,129.808,4.032,0.155,8.524,0.365,2.95,5.76
272,AUS,Australia,2012,22904000,1020000000000.0,406.506,0.5770000000000001,2.333,411.987,5.481,1.348,17.748,17.988,1.169,15335.228,0.399,0.404,3.518,189.138,8.641,67.705,133.684,3.819,0.154,8.258,0.377,2.9560000000000004,5.8370000000000015
287,AUT,Austria,2007,8314000,337000000000.0,74.263,-3.428,-2.636,102.86,28.597,38.508,8.932,12.372,0.237,4625.719,0.22,0.305,2.131,17.455,0.185,16.486,36.809,1.197,0.256,2.099,0.022,1.983,4.427
288,AUT,Austria,2008,8342000,342000000000.0,73.58800000000002,-0.908,-0.674,101.314,27.726,37.677,8.821,12.145,0.23,4699.308,0.215,0.29600000000000004,2.133,17.028,0.162,17.427,35.62300000000001,1.215,0.256,2.041,0.019,2.089,4.27
289,AUT,Austria,2009,8373000,336000000000.0,67.494,-8.282,-6.0939999999999985,92.83,25.336,37.539,8.061,11.087,0.215,4766.802,0.201,0.276,1.7990000000000002,12.833,0.205,17.027,34.642,0.988,0.215,1.533,0.024,2.0340000000000003,4.137
290,AUT,Austria,2010,8410000,341000000000.0,72.012,6.694,4.518,98.486,26.474,36.76300000000001,8.562999999999999,11.711,0.217,4838.814,0.211,0.289,1.622,15.501,0.184,18.771,34.827,1.107,0.193,1.843,0.022,2.232,4.141
291,AUT,Austria,2011,8454000,350000000000.0,69.898,-2.935,-2.114,101.328,31.43,44.965,8.267999999999999,11.986,0.204,4908.712,0.2,0.29,1.666,15.819,0.18,17.723,33.32,1.1909999999999998,0.197,1.871,0.021,2.096,3.941
292,AUT,Austria,2012,8502000,365000000000.0,67.209,-3.847,-2.689,96.009,28.8,42.851000000000006,7.905,11.293,0.193,4975.9209999999985,0.184,0.263,1.673,14.687,0.184,16.938,32.616,1.112,0.197,1.727,0.022,1.992,3.836
